               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.035265,            0.032741,           0.0019913,             0.74696,             0.58075,             0.66827,             0.33931,            0.027685,            0.015133,           0.0020627,            0.001585,            0.001585,            0.001585
                  87,            0.034722,            0.032596,           0.0021914,             0.75124,             0.59378,             0.67735,             0.34186,            0.027313,            0.014934,           0.0023082,            0.001486,            0.001486,            0.001486
                  88,            0.033747,            0.032515,           0.0022819,             0.77686,             0.57887,             0.68601,             0.33668,            0.028069,            0.015006,           0.0022466,            0.001387,            0.001387,            0.001387
                  89,            0.034079,            0.031886,           0.0018968,             0.77128,             0.58384,             0.69161,             0.34254,             0.02757,            0.015739,           0.0020862,            0.001288,            0.001288,            0.001288
                  90,            0.034095,            0.032314,           0.0017605,             0.63597,             0.62941,             0.68332,             0.33039,            0.027759,            0.015333,           0.0021053,            0.001189,            0.001189,            0.001189
                  91,            0.033536,            0.032001,           0.0020655,             0.79683,             0.56751,              0.6877,              0.3396,             0.02773,             0.01533,           0.0019712,             0.00109,             0.00109,             0.00109
                  92,              0.0341,            0.032028,           0.0018686,             0.73704,             0.61443,             0.70053,             0.34848,            0.027357,            0.015484,           0.0020425,            0.000991,            0.000991,            0.000991
                  93,            0.033966,            0.031613,           0.0018426,             0.76627,               0.586,             0.70041,             0.35356,            0.027085,            0.015585,           0.0019355,            0.000892,            0.000892,            0.000892
                  94,            0.033827,            0.031999,           0.0020885,             0.77044,             0.59161,             0.69442,             0.34122,            0.027205,            0.015456,           0.0018504,            0.000793,            0.000793,            0.000793
                  95,            0.034595,            0.031787,           0.0022804,             0.74086,             0.62028,             0.70603,             0.34823,            0.027093,            0.015301,            0.001828,            0.000694,            0.000694,            0.000694
                  96,            0.033509,            0.031794,           0.0017131,             0.70649,             0.60484,             0.70246,             0.34676,            0.027288,            0.015578,           0.0018007,            0.000595,            0.000595,            0.000595
                  97,            0.033218,            0.032267,           0.0014476,             0.68661,             0.61563,             0.69588,             0.34211,             0.02716,            0.015641,           0.0018746,            0.000496,            0.000496,            0.000496
                  98,            0.033368,            0.031047,           0.0019372,             0.69783,             0.65061,             0.70354,             0.34354,            0.027006,              0.0157,           0.0018565,            0.000397,            0.000397,            0.000397
                  99,            0.033563,            0.031982,            0.001762,             0.68276,             0.64009,             0.70501,             0.34879,            0.026961,            0.015443,           0.0018593,            0.000298,            0.000298,            0.000298
